Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United States,111,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
Australia,193,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.8826702592955478,0.8386978072622072,0.704113907966658,0.696665868638096,0.7638712489999998,0.8182840823333332,0.901824999,0.873659249,0.8946409156666665,0.8782443323333332,0.8702145823333335,0.9858628323333332,1.110014999166666,1.139519165916666,1.4318949995,1.495974166416666,1.42818,1.279908333333333,1.264596666666666,1.281056666666667,1.283755833333333,1.361648333333333,1.47056,1.367750833333334,1.3490325,1.277863333333333,1.34738,1.591828333333334,1.54995,1.724826666666667,1.9334425,1.8405625,1.541914166666667,1.3597525,1.309473333333334,1.3279734405,1.1950725,1.192178333333333,1.282188810084518,1.090159486386772,0.9694632014967351,0.9658010306587078,1.035843096520538,1.109363292816917,1.331090262455018,1.345213976019468,1.304758076715922,1.338412146464508,1.438506544213818,1.45308511847016,1.331224259570809,1.441664458965217,1.505191065605085,1.51535803855596,1.551997886648505,NA
Austria,122,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.995999999,21.358,21.358,24.413999999,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,24.9855838961397,23.1153333323333,19.5799999990833,18.692499999,17.4167499991667,17.9396666658333,16.526916666,14.52166666575,13.3674999994167,12.9379999990833,15.9268333323333,17.0592499991667,17.9633333325,20.0090833326667,20.6894999998333,15.2671333333333,12.6425,12.3476666666667,13.2306666666667,11.3698333333333,11.6759166666667,10.9893333333333,11.6321825,11.4218249166667,10.0814958333333,10.5865575,12.2042441666667,12.379065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,124,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,49.0569774216899,44.0145833323333,38.976499999,38.951499999,36.7789166656667,38.6051666656667,35.842749999,31.4920833323333,29.3186666656667,29.24166666575,37.1292499991667,45.6905833323333,51.1316666658333,57.7839166664167,59.378,44.6719166666667,37.3340833333333,36.7683333333333,39.404,33.4179166666667,34.14825,32.1495,34.5965208333333,33.4564975,29.4800166666667,30.9615133333333,35.7738908333333,36.2986408333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,156,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.088999999,1.052999999,0.978999999,0.982999999,0.972999999,0.985999999,0.983999999,0.9588443650000003,0.9706189756666668,0.9591137533333335,0.9697667866666668,1.013062515833334,1.068769224083334,1.078514344166667,1.078598419166667,1.077984284166666,1.077341566666666,1.078710424166667,1.077471400833333,1.0767805125,1.044218744166666,1.009810544166666,0.9906625558333335,1.00009014,0.9780175255833335,1.017159263333334,0.9860283040833332,1.063441610833333,1.14065917075,1.171424495833333,1.169226866666667,1.198903120833333,1.233734911666667,1.232411827416667,1.295065610833334,1.365507391666667,1.389471059166667,1.325982581666667,1.230700846666667,1.183972084166667,1.166773626666666,1.145725844166666,1.20872292,1.290087881666666,1.3656734475,1.372445418333333,1.363521635833333,1.384598028333334,1.483505301666666,1.485704819166667,1.485394095,1.548839955,1.570342834166666,1.4010145475,1.301281595,1.211405134166667,1.134344725833333,1.074045621666667,1.067086918333333,1.141535405912698,1.030112735175984,0.9892581586363638,0.9993647435930738,1.030137363730158,1.104747132378863,1.278786203625542,1.325615163748196,1.297935846460393,1.295817928135338,1.326793362660122,1.34115267222386,1.253876902126798,1.301554774743554,1.349908640793904,1.369359766040919,1.39801326336675,NA
Switzerland,146,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.133854168312022,3.819249999,3.164833332416668,2.979249999,2.581283332416668,2.49964166575,2.403524999333333,1.78802499925,1.662724999083333,1.675708332583334,1.964241665916666,2.030274999083333,2.09914166575,2.349683332833334,2.457125,1.7989166665,1.491191666666666,1.4633,1.635925,1.389158333333333,1.433991666666667,1.406218333333333,1.477616666666666,1.3676925,1.182469166666667,1.23601,1.4513125,1.449813308333333,1.502155,1.6888425,1.687615,1.5586075,1.346650833333333,1.243495833333334,1.245176666666667,1.253843333333334,1.200365833333334,1.08309,1.08814169630268,1.042905645733516,0.888042028223281,0.9376844807093492,0.9269035477582845,0.9161510472836132,0.962381328004354,0.9853943942448345,0.9846916666666665,0.9778916666666668,0.9937091666666668,0.938965,0.9138458333333332,0.9548325,0.89849,0.8804408333333332,0.8313558333333335,NA
Cyprus,423,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.362103332665675,0.416666999416667,0.416666999416667,0.416666999416667,0.410730598428557,0.383572369170173,0.349950502818348,0.364692710725132,0.368907243107116,0.41049569197004,0.408121577265547,0.373512583264684,0.354443863948176,0.353051686694203,0.42143075903062,0.475385895733429,0.526640771160504,0.588385860092809,0.612552316163745,0.518143083333333,0.481096583333333,0.466628833333333,0.494624916666667,0.458079916666667,0.4644285,0.449548583333333,0.497405166666667,0.492191,0.452420166666667,0.46631125,0.513897333333333,0.517825583333333,0.54294775,0.622409116666667,0.643107026158333,0.610659989666667,0.517443261666667,0.46860055225,0.464070507161667,0.458915946916667,0.426125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,134,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1949828007465,4.1949828007465,4.1949828007465,4.2000000032000004,4.2000000032000004,4.2000000032000004,4.2000000032000004,4.2000000032000004,4.2000000032000004,4.2000000032000004,4.2000000032000004,4.03333333636667,4.000000003,4.000000003,4.000000003,4.000000003,4.000000003,4.000000003,4.000000003,3.94333333594333,3.66000000266,3.50739351008637,3.18864166566667,2.67259999908333,2.587749999,2.46029166608333,2.51799999908333,2.32218333241667,2.00862499916667,1.8328833325,1.81766666583333,2.25999999908333,2.42659166575,2.55325833241667,2.84594166616667,2.9439666665,2.17148333308333,1.79739166666667,1.756225,1.88004166666667,1.61573333333333,1.65954166666667,1.56165,1.65332083333333,1.62279416666667,1.4331325,1.50477416666667,1.73405583333333,1.7596676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,128,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.90714000590714,6.956541672047618,7.5000000065,7.5000000065,7.5000000065,7.42633796871194,6.949291665666665,6.049499999,6.094899999,5.746149999,6.045024999,6.003191665666665,5.514624999,5.260958332333332,5.635941665666668,7.123366665666665,8.332441666166668,9.14499166575,10.35659166625,10.59639166641666,8.090991666583331,6.840316666666668,6.731524999999998,7.310175,6.188558333333335,6.396458333333332,6.036133333333335,6.483939166666665,6.360551666666668,5.602366666666668,5.798671666666665,6.604459166666668,6.700826666666668,6.976239999999998,8.083144166666669,8.322817499999998,7.894714166666665,6.587673333333335,5.991056666666668,5.99691,5.946778333333335,5.443700833333335,5.098130833333335,5.360866666666668,5.624075,5.36871153508772,5.792475537039158,5.616311686176225,5.612466666666665,6.727906831296295,6.731718257246378,6.602893465614035,6.314618786666668,6.669446615,6.542152204166668,6.2871130825,7.0761518625,6.889702585833335,6.894481416666665,6.621825083333332,NA
Spain,184,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.799999999,39.649999999,39.649999999,39.649999999,38.949999999,38.949999999,38.949999999,41.3016666656667,41.999160034439,50.9995800467195,60.000000059,60.000000059,60.000000059,60.000000059,60.000000059,60.000000059,60.000000059,61.6666667275,70.00000007,70.00000007,70.00000007,69.4686667071667,64.2714166659167,58.2600833323333,57.686499999,57.4069166656667,66.9029166660833,75.9618333324167,76.6678333328333,67.1249999995833,71.7019166659167,92.3218333325,109.859166665833,143.429916666333,160.760999999667,170.044083333167,140.048375442168,123.478333333333,116.486833333333,118.377666666667,101.933916666667,103.911583333333,102.379083333333,127.260416666667,133.957955,124.689,126.661583333333,146.413628333333,149.395331666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
